STATE,PC_NO,PC_NAME,PC_TYPE,AC_NO,AC_NAME,AC_TYPE,18-19 Male,18-19 Female,18-19 Others,Above 18 Male,Above 18 Female,Above 18 Others,Gender Ratio Roll,Electors with EPIC,Electors with Photo
BIHAR,35,KARAKAT,,221,NABINAGAR,,3589,1713,1,127426,105716,9,830,207696,232501
BIHAR,37,AURANGABAD,,222,KUTUMBA,SC,3672,1875,1,124164,102353,4,824,201661,225471
BIHAR,37,AURANGABAD,,223,AURANGABAD,,4701,3150,4,140974,120482,11,855,226458,261467
BIHAR,37,AURANGABAD,,224,RAFIGANJ,,4793,2998,4,151601,128955,11,851,247407,279437
BIHAR,37,AURANGABAD,,225,GURUA,,4107,3280,1,129478,112642,7,870,213937,242150
BIHAR,38,GAYA,SC,226,SHERGHATI,,4443,4436,2,121853,111133,13,912,211331,233057
BIHAR,37,AURANGABAD,,227,IMAMGANJ,SC,4111,3863,3,132969,117865,9,886,229455,250843
BIHAR,38,GAYA,SC,228,BARACHATTI,SC,4966,5069,3,133030,122162,23,918,230387,255221
BIHAR,38,GAYA,SC,229,BODH GAYA,SC,5001,5795,3,140500,128517,9,915,246458,269036
BIHAR,38,GAYA,SC,230,GAYA TOWN,,2680,2531,3,126903,108206,33,853,215454,235163
BIHAR,37,AURANGABAD,,231,TIKARI,,3922,3666,0,138190,122701,2,888,240089,260898
BIHAR,38,GAYA,SC,232,BELAGANJ,,3279,2746,2,124496,110668,7,889,215778,235171
BIHAR,36,JAHANABAD,,233,ATRI,,3261,3260,1,139318,125830,6,903,239101,265205
BIHAR,38,GAYA,SC,234,WAZIRGANJ,,3934,3924,5,134946,122102,11,905,232837,257060
BIHAR,39,NAWADA,,235,RAJAULI,SC,5505,5874,2,149346,134582,9,901,246650,283948
BIHAR,39,NAWADA,,236,HISUA,,6276,4430,1,168706,152155,6,902,284919,320920
BIHAR,39,NAWADA,,237,NAWADA,,5007,4342,0,159762,142990,5,895,268809,302776
BIHAR,39,NAWADA,,238,GOBINDPUR,,5220,4427,1,143565,125954,8,877,241414,269546
BIHAR,39,NAWADA,,239,WARSALIGANJ,,5354,4599,4,161106,141911,13,881,269742,303028
BIHAR,40,JAMUI,SC,240,SIKANDRA,SC,3532,3252,2,136592,120047,6,879,237617,256645
BIHAR,40,JAMUI,SC,241,JAMUI,,3548,2820,0,136675,117276,2,858,236085,253952
BIHAR,40,JAMUI,SC,242,JHAJHA,,3645,3916,1,144232,127340,4,883,248351,271573
BIHAR,40,JAMUI,SC,243,CHAKAI,,2609,1944,3,132361,116178,6,878,234892,248545
